In_Type,Com_Tr_Num,Date_Com,Date_Com_Re,Date_Complete,Com_Class,In_Status,Disp,B_Com,Div_Com,Un_Com,Detail,WorkSta,ShiftCom,Rule,Par,UnOff_ID,Off_R_Eth,Off_Gen,Off_Age,Off_Year,Com_Gen,Com_Eth,Com_Age
Public Initiated,2023-0374-P,U,2023/7/11,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30857,Black,F,U,U,F,B,U
Public Initiated,2023-0374-P,U,2023/7/11,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30858,Black,F,U,U,F,B,U
Public Initiated,2023-0374-P,U,2023/7/11,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30861,Black,M,U,U,F,B,U
Public Initiated,2023-0374-P,U,2023/7/11,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,30864,Black,M,U,U,F,B,U
Public Initiated,2023-0381-P,U,2023/7/13,U,NFIM,Initial,Pending,FOB - Field Operations Bureau,Reserves,Reserves,U,Unknown Working Status,Unknown Shift Hours,U,U,30865,Not Specified,M,U,U,M,W,U
Rank Initiated,U,U,2023/7/19,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,30867,Not Specified,U,U,U,U,U,U
Public Initiated,2023-0381-P,U,2023/7/13,U,NFIM,Initial,Pending,FOB - Field Operations Bureau,Reserves,Reserves,U,Unknown Working Status,Unknown Shift Hours,U,U,30868,Not Specified,M,U,U,U,U,U
Rank Initiated,2023-0366-R,U,2023/7/7,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,30872,White,M,U,U,U,U,U
Rank Initiated,2023-0366-R,U,2023/7/7,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,30875,Black,M,U,U,U,U,U
Rank Initiated,2023-0360-R,U,2023/7/7,U,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,30931,Black,F,U,U,U,U,U
Public Initiated,2023-0354-N,U,2023/7/3,U,NFIM,Initial,Pending,ISB - Investigative Services Bureau,CID,Other Support,Investigations,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,30943,White,M,U,U,F,U,U
Public Initiated,2023-0318-P,U,2023/6/16,U,DI-1,Active,Pending,PIB - Public Integrity Bureau,Integrity,Integrity,Special Operations,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,30988,Black,M,U,U,F,U,U
Rank Initiated,2023-0353-R,U,2023/7/3,U,DI-1,Active,Pending,FOB - Field Operations Bureau,SOD,Traffic,Fatality Unit,Unknown Working Status,Unknown Shift Hours,U,U,31016,Black,M,U,U,U,U,U
Rank Initiated,2022-0335-R,U,2022/7/25,2022/8/11,Cancelled,Completed,Other,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,U,U,31018,Black,M,U,U,U,U,U
Public Initiated,2023-0302-P,U,2023/6/20,U,DI-1,Active,Pending,FOB - Field Operations Bureau,SOD,Other Support,K-9 Section,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31019,Black,F,U,U,F,U,U
Public Initiated,2023-0310-P,U,2023/6/12,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 6: OFFICIAL INFO,PARAGRAPH 01 - SECURITY OF RECORDS,31034,White,M,U,U,F,B,U
Public Initiated,2023-0310-P,U,2023/6/12,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 6: OFFICIAL INFO,PARAGRAPH 01 - SECURITY OF RECORDS,31036,White,M,U,U,F,B,U
Public Initiated,2023-0310-P,U,2023/6/12,U,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 6: OFFICIAL INFO,PARAGRAPH 01 - SECURITY OF RECORDS,31038,White,M,U,U,F,B,U
Public Initiated,2023-0298-N,U,2023/6/7,U,NFIM,Initial,Pending,MSB - Management Services Bureau,ADD,Extended Sick,Extended Sick,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31039,Black,M,U,U,f,B,U
Public Initiated,2023-0307-P,U,2023/6/12,U,DI-1,Active,Pending,FOB - Field Operations Bureau,2nd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,U,U,31041,Black,M,U,U,M,W,U
Public Initiated,2023-0301-P,U,2023/6/8,U,Mediation,Active,Pending,ISB - Investigative Services Bureau,CID,Homicide,Cold Case,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31042,White,M,U,U,F,B,U
Public Initiated,2023-0288-P,U,2023/6/5,U,DI-1,Active,Pending,FOB - Field Operations Bureau,Communications,FOB,APR,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31045,Black,F,U,U,U,U,U
Public Initiated,2023-0358-N,2023/6/30,2023/7/5,U,NFIM,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,U,31087,Not Specified,U,U,U,U,U,U
Rank Initiated,2023-0258-R,U,2023/5/18,U,DI-1,Active,Pending,FOB - Field Operations Bureau,SOD,Traffic,Fatality Unit,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31118,Black,M,U,U,U,U,U
Rank Initiated,2023-0257-R,U,2023/5/18,U,DI-1,Active,Pending,MSB - Management Services Bureau,SPT SVCS,Other Support,Risk Management,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31130,Black,M,U,U,U,U,U
Public Initiated,2023-0260-P,U,2023/5/19,U,Mediation,Active,Pending,FOB - Field Operations Bureau,3rd District,Day Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31132,Black,F,U,U,M,U,U
Rank Initiated,2023-0255-R,U,2023/5/24,U,DI-1,Active,Pending,ISB - Investigative Services Bureau,CID,Sex Crimes,1st Platoon,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31133,Black,F,U,U,U,U,U
Public Initiated,2023-0264-N,U,2023/5/22,2023/5/22,NFIM,Completed,NFIM,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,AWP - Off Duty,Between 11pm-7am,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,31134,Black,M,U,U,M,B,U
Public Initiated,2023-0256-R,U,2023/5/22,U,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31136,Black,M,U,U,U,U,U
Public Initiated,2023-0234-P,U,2023/5/16,U,DI-1,Initial,Pending,MSB - Management Services Bureau,ADD,LWOP,LWOP,Unknown Working Status,Unknown Shift Hours,U,U,31142,Black,M,U,U,U,U,U
Rank Initiated,2023-0249-R,U,2023/5/12,U,DI-1,Active,Pending,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,31144,Black,M,U,U,U,U,U
Public Initiated,2023-0248-P,U,2023/5/11,U,DI-1,Active,Pending,FOB - Field Operations Bureau,2nd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31146,White,M,U,U,U,U,U
Public Initiated,2023-0196-P,U,2023/4/19,U,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Staff,Staff Other,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31154,Black,F,U,U,M,W,U
Public Initiated,2023-0224-P,U,2023/4/27,U,DI-1,Active,Pending,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing,31155,Black,M,U,U,F,B,U
Public Initiated,2023-0223-N,U,2023/4/27,2023/5/5,NFIM,Completed,NFIM,ISB - Investigative Services Bureau,SID,Narcotics,Task Force/Narc,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,U,31180,White,M,U,U,F,W,U
Public Initiated,2023-0367-P,2023/7/7,2023/7/7,U,DI-1,Active,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad C,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,31182,Not Specified,U,U,U,M,B,50
Public Initiated,2023-0217-P,U,2023/4/24,U,DI-1,Initial,Pending,FOB - Field Operations Bureau,4th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,U,U,31187,Black,F,U,U,F,B,U
Public Initiated,2023-0141-P,U,2023/3/17,U,DI-1,Initial,Pending,ISB - Investigative Services Bureau,SID,Other Support,Mayors Security,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31233,Black,M,U,U,M,B,U
Public Initiated,2023-134-P,U,2023/3/15,U,DI-1,Initial,Pending,FOB - Field Operations Bureau,1st District,Day Watch,Day Watch,Regular Working,7:00am to 7:15pm,U,U,31241,Black,M,U,U,U,U,U
Rank Initiated,2023-0098-R,U,2023/2/24,2023/7/21,DI-1,Completed,Other,FOB - Field Operations Bureau,SOD,Other Support,RTA,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31247,Black,M,U,U,U,U,U
Public Initiated,U,U,2023/2/24,U,U,Initial,Pending,FOB - Field Operations Bureau,1st District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,U,U,31250,Black,M,U,U,M,B,U
Rank Initiated,2023-0042,U,2023/2/1,2023/3/13,U,Completed,Other,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,31252,Black,F,U,U,U,U,U
Public Initiated,2023-0057-P,2023/1/19,2023/2/2,2023/5/1,DI-1,Completed,Not Sustained,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31299,White,M,U,U,M,B,74
Rank Initiated,2023-0041-R,U,2023/1/27,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Between 7am-7:15pm,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,31302,Black,M,U,U,U,U,U
Rank Initiated,2023-0037-R,U,2023/1/25,U,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Regular Working,Between 7pm-7:15am,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31304,Black,M,U,U,U,U,U
Public Initiated,2023-0036-P,2023/1/17,2023/1/24,2023/3/28,DI-1,Completed,Not Sustained,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31308,Black,F,U,U,M,W,24
Public Initiated,2023-0036-P,2023/1/17,2023/1/24,2023/3/28,DI-1,Completed,Not Sustained,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31310,Black,F,U,U,M,W,24
Public Initiated,2022-0566-P,U,2022/12/26,2023/3/29,DI-1,Completed,Exonerated,ISB - Investigative Services Bureau,SID,Other Support,Mayors Security,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31327,Black,F,U,U,M,W,U
Public Initiated,2022-0566-P,U,2022/12/26,2023/3/29,DI-1,Completed,Exonerated,ISB - Investigative Services Bureau,SID,Other Support,Mayors Security,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31329,Black,M,U,U,M,W,U
Public Initiated,2022-0566-P,U,2022/12/26,2023/3/29,DI-1,Completed,Exonerated,ISB - Investigative Services Bureau,SID,Other Support,Mayors Security,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31331,Black,M,U,U,M,W,U
Public Initiated,U,U,2023/6/26,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,31353,Not Specified,U,U,U,U,U,U
Public Initiated,2022-0559-N,U,2022/12/16,2022/12/27,DI-1,Completed,NFIM,FOB - Field Operations Bureau,7th District,7th District,Staff,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31356,Black,M,U,U,U,U,U
Rank Initiated,2022-0517-R,U,2022/12/12,2023/2/28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31372,Black,F,U,U,U,U,U
Public Initiated,2022-0534-P,U,2022/12/12,2023/2/3,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,D.I.U.,Tact 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31375,Black,M,U,U,F,B,U
Public Initiated,2022-0534-P,U,2022/12/12,2023/2/3,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,D.I.U.,Tact 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31376,Black,M,U,U,F,B,U
Public Initiated,2022-0534-P,U,2022/12/12,2023/2/3,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,D.I.U.,Tact 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31379,White,M,U,U,F,B,U
Public Initiated,2022-0534-P,U,2022/12/12,2023/2/3,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,D.I.U.,Tact 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31383,Black,M,U,U,F,B,U
Public Initiated,2022-0546-P,U,2022/12/5,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,Second Watch,Second Watch,Regular Working,7:00 pm to 7:15 am,U,U,31384,Black,M,U,U,U,U,U
Rank Initiated,2022-0518-R,U,2022/12/2,2022/12/2,U,Completed,Other,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,U,U,31388,Black,M,U,U,U,U,U
Rank Initiated,2022-0518-R,U,2022/12/2,2022/12/2,U,Completed,Other,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,U,U,31400,White,M,U,U,U,U,U
Rank Initiated,2022-0518-R,U,2022/12/2,2022/12/2,U,Completed,Other,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,U,U,31403,White,M,U,U,U,U,U
Rank Initiated,2022-0513-R,U,2022/11/11,2023/6/22,DI-1,Completed,Sustained,ISB - Investigative Services Bureau,SID,Other Support,Mayors Security,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31405,Black,M,U,U,U,U,U
Rank Initiated,2022-0514-R,U,2022/11/18,2023/3/18,DI-1,Completed,Not Sustained,ISB - Investigative Services Bureau,SID,Intelligence,Admin,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31405,White,M,U,U,U,U,U
Rank Initiated,U,U,2022/10/19,U,U,Initial,Pending,FOB - Field Operations Bureau,5th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,U,U,31412,Hispanic,M,U,U,U,U,U
Public Initiated,2022-0454-P,U,2022/10/17,2023/2/13,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31414,Black,F,U,U,F,B,U
Public Initiated,2022-0438-P,U,2022/10/14,2023/2/6,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Reserves,Reserves,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31417,White,M,U,U,U,U,U
Public Initiated,2022-0425-P,U,2022/10/13,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31418,Black,M,U,U,M,U,U
Public Initiated,2022-0413-P,U,2022/10/4,U,DI-1,Active,Pending,PSAB - Prof Standards & Accountability Bureau,Intelligence,Intelligence,Staff,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31420,Black,F,U,U,F,B,U
Public Initiated,2022-0409-P,U,2022/9/30,2023/1/7,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31422,Black,M,U,U,U,U,U
Public Initiated,2022-0414-P,U,2022/9/15,2023/1/26,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31425,White,M,U,U,U,U,U
Rank Initiated,2022-0388-R,U,2022/8/24,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31428,White,M,U,U,U,U,U
Public Initiated,2022-0356-P,U,2022/8/22,2022/8/25,Duplicate,Completed,Other,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,U,U,31438,White,M,U,U,F,B,U
Rank Initiated,U,U,2023/6/28,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,31439,Not Specified,U,U,U,U,U,U
Public Initiated,2022-0355-P,2022/2/1,2022/8/22,2022/10/28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31442,Black,M,U,U,F,B,54
Public Initiated,2022-0306-P,U,2022/7/1,2022/8/17,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,Integrity,Integrity,Staff,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31444,Black,F,U,U,M,W,U
Public Initiated,2022-0346-P,U,2022/8/9,U,DI-1,Forwarded,Pending,PIB - Public Integrity Bureau,Integrity,Integrity,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31454,Black,F,U,U,U,U,U
Public Initiated,2022-0491-N,U,2022/10/30,2022/10/30,NFIM,Completed,NFIM,Not - NOPD Officer,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31462,Not Specified,U,U,U,M,U,U
Public Initiated,2022-0337-P,U,2022/8/9,2022/10/28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31474,Black,M,U,U,U,U,U
Public Initiated,2022-0350-P,U,2022/7/28,2023/2/17,DI-1,Completed,Not Sustained,PIB - Public Integrity Bureau,Integrity,Integrity,Staff,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31476,Black,F,U,U,M,W,U
Rank Initiated,2022-0331-R,1987/7/21,2022/7/21,2022/11/28,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,5th District,5th District,U,Regular Working,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,31477,Black,F,U,U,F,B,17
Public Initiated,2022-0317-P,U,2022/7/25,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31497,Hispanic,M,U,U,M,B,U
Rank Initiated,2022-0298-R,U,2022/7/11,2022/11/9,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31499,White,M,U,U,U,U,U
Public Initiated,2022-0291-P,U,2022/7/8,2023/6/26,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31500,Black,M,U,U,U,U,U
Public Initiated,2022-0288-P,U,2022/7/6,U,DI-1,Active,Pending,PIB - Public Integrity Bureau,Integrity Criminal,Integrity Criminal,A Section,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31501,Black,F,U,U,M,U,U
Public Initiated,2023-0334-P,2023/6/20,2023/6/23,U,Mediation,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,U,U,31505,Not Specified,U,U,U,F,B,50
Rank Initiated,2022-0303-R,U,2022/7/5,U,U,Initial,Pending,ISB - Investigative Services Bureau,CID,Other Support,Other,Unknown Working Status,Unknown Shift Hours,U,U,31516,White,M,U,U,U,U,U
Public Initiated,2022-0276-P,U,2022/6/30,2022/10/31,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,Integrity,Integrity,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31529,Hispanic,M,U,U,U,U,U
Public Initiated,2022-0268-P,U,2022/6/10,2023/6/15,DI-1,Completed,Resigned under investigation,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31531,White,M,U,U,U,U,U
Public Initiated,2022-0255-P,U,2022/6/10,2022/9/15,DI-1,Completed,Not Sustained,ISB - Investigative Services Bureau,CID,Homicide,Squad A,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31547,White,F,U,U,M,B,U
Rank Initiated,U,U,2023/6/22,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,31561,Not Specified,U,U,U,U,U,U
